"Reference:",""
"Date:","Tue Jan 14 2025 13:08:11 GMT+0100 (Midden-Europese standaardtijd)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"C21, C24","2","GPC1206104","Generic part","0.1µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C31, C33, C35, C36","4","GPC1206104","Generic part","0.1µF ±10% 50V Ceramic Capacitor X7R 1206 (3216 Metric)"
"JP2","1","GPHA-1X05","Generic part","WR-PHD 2.54 mm Pin Header 5 pin 1 row straight gold plating"
"JP8","1","GPHA-1X02","Generic part","WR-PHD 2.54 mm Pin Header 2 pin 1 row straight gold plating"
"R1, R24, R25, R26, R27, R28, R29, R30, R31, R34, R36, R38, R40","13","GPR12061K","Generic part","1206, Res 1.0kOhm, 200V, 1.0%, 250mW"
"R15","1","GPR12061K","Generic part","1206, Res 1.0kOhm, 200V, 1.0%, 250mW"
"R35, R37, R39, R41","4","GPR12062K","Generic part","1206, Res 2.0kOhm, 200V, 1.0%, 250mW"
"D2, D5, D7, D11, PWR_LED","5","150120VS75000","Wurth Elektronik","Green 570nm LED Indication - Discrete 2V 1206 (3216 Metric)"
"J1","1","61304021821","Wurth Elektronik","2.54mm Dual Socket Header WR-PHD 40 circuit"
"C17, C23","2","EEEFC1H2R2R","Panasonic","Capacitor, Aluminum Electrolytic 2.2uF 20% 50V"
"C18","1","ECW-U1272JX5","Panasonic","2700 pF ±5% Film Capacitor 40V 100V Polyester, Polyethylene Naphthalate (PEN), Metallized - Stacked 1206 (3216 Metric)"
"C19","1","GRM32EC81C476KE15L","Murata","CAP CER 47UF 16V X6S 1210"
"C20","1","CC1206DRNPO9BN6R8","Yageo","6.8pF ±0.5pF 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)"
"C22","1","CGA4C2C0G1H472J060AA","TDK Corporation","4700 pF ±5% 50V Ceramic Capacitor C0G, NP0 0805 (2012 Metric)"
"C25","1","CC1206JRNPO9BN220","Yageo","22pF ±5% 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric), General Purpose"
"C26","1","KGM31BR72A123KT","KYOCERA AVX","0.012 µF ±10% 100V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C27","1","12067C103KAT2A","AVX","10000pF ±10% 500V Ceramic Capacitor X7R 1206 (3216 Metric)"
"C28","1","EMK107B7105KA-T","Taiyo Yuden","1µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C29","1","C3216X5R1H106K160AB","TDK","10µF ±10% 50V Ceramic Capacitor X5R 1206 (3216 Metric)"
